Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PEP,"Pepsico Inc",144.23,-0.74000000000001,-0.51%,146.47,144.05,3952300,12/14/20
PYPL,"Paypal Holdings",220.79,6.73,+3.14%,223.16,215,9759400,12/14/20
QCOM,"Qualcomm Inc",146.29,2.01,+1.39%,147.75,143.33,12258400,12/14/20
REGN,"Regeneron Pharmaceuticals",500.38,20.61,+4.30%,502.6,483.55,1245800,12/14/20
ROST,"Ross Stores Inc",110.55,-2.27,-2.01%,114.32,110.49,1816500,12/14/20
SBUX,"Starbucks Corp",103.32,0.31999999999999,+0.31%,104.71,103.25,5156100,12/14/20
SGEN,"Seattle Genetics Inc",193.59,2.41,+1.26%,198.59,191.75,1127700,12/14/20
SIRI,"Sirius XM Holdings",6.33,-0.09,-1.40%,6.45,6.31,17320400,12/14/20
SNPS,"Synopsys Inc",238.86,2.47,+1.04%,242.73,235.88,715500,12/14/20
SPLK,"Splunk Inc",159.38,4.13,+2.66%,159.76,155.3,3287800,12/14/20
SWKS,"Skyworks Solutions",139.26,0.019999999999982,+0.01%,140.43,137.94,2933200,12/14/20
TCOM,"Trip.com Group Ltd",33.86,0.9,+2.73%,34.09,33.01,3244800,12/14/20
TMUS,"T-Mobile US",129.36,-1.87,-1.42%,132.97,129.23,5296900,12/14/20
TSLA,"Tesla Inc",639.83,29.84,+4.89%,642.75,610.2,52040600,12/14/20
TTWO,"Take-Two Interacti",195.2,4.99,+2.62%,203.69,193,3660200,12/14/20
TXN,"Texas Instruments",160.12,-0.49000000000001,-0.31%,162.75,159.99,5994200,12/14/20
ULTA,"Ulta Beauty Inc",265.79,0.40000000000003,+0.15%,272,265.08,795600,12/14/20
VRSK,"Verisk Analytics Inc",194.77,0.78,+0.40%,197.73,194.03,495500,12/14/20
VRSN,"Verisign Inc",212.11,2.12,+1.01%,214.83,209.07,724300,12/14/20
VRTX,"Vertex Pharmaceutic",228.13,3.96,+1.77%,233.47,226.43,2220200,12/14/20
WBA,"Walgreens Boots Alliance",41.48,-0.050000000000004,-0.12%,42.14,41.2,6695700,12/14/20
WDAY,"Workday Inc",220.37,1.13,+0.52%,224.1,218.66,2563500,12/14/20
XEL,"XCEL Energy Inc",65.04,0.040000000000006,+0.06%,66.45,65.01,2355600,12/14/20
XLNX,"Xilinx Inc",149.03,5.2,+3.62%,149.96,144.32,2709300,12/14/20
ZM,"Zoom Video Communications Cl A",395.99,-1.02,-0.26%,396.75,376.68,6820100,12/14/20
"Downloaded from Barchart.com as of 12-15-2020 02:10am CST"
